idx,smiles,homolumogap
48,CC1=CC(=O)C2C(C1OC(=O)CCl)O2,4.982404603
49,COCOC(C1=CC(CC1OCOC)O)C,6.748423492
50,COCOC(C(=C)C(CCO)O)C,7.194690207
51,CC(C(=C)C1OC1CO)OCOC,6.778356016
52,CC(C(=C)C=CCO)OCOC,5.518468888
53,CC(C(=C)CO)OCOC,7.232786146
54,OC1C(O)C(O)C(OC1c1ccccc1)C,6.353858409
55,C=CC1=C(C)CCC2C1(C)CCCC2(C)C,5.825957539
56,COC(=O)C=CCC1CCC=N1=O,4.669473675
57,COC(=O)C=CCC1CCC=N1,6.035485204
58,OCC1OC(OC1C(OC(=O)C)C)(C)C,7.09945036
59,CC(=O)OCC1OC(OC1C(O)C)(C)C,6.955230019
60,CC=C1OCCN1C,6.47903078
61,CC(C(c1ccccc1)SC(C)(C)C)(C)C,5.654525813
62,FC1CCOC1N1CC(C)C(=NC1=O)O,5.790582739
63,SC1=NC2C(S1)Cc1c2cccc1,5.948408772
64,CCC(c1ccccc1)SC(C)(C)C,5.583776212
65,N#CC(C1C(C1(O)c1ccccc1)(C)C)C#N,6.462703949
66,CN(c1ccc(cc1)C=Cc1cnco1)C,3.692584951
67,CCOC(=O)C(C1CCC(O1)C)C,6.966114573
68,NCCCCC(C(=O)O)NC=C1C=CC=N1,4.315725669
69,OC(=O)C(CCCCNC=C1C=CC=N1)N,4.310283392
70,CCOC(=S)CC1CCC(O1)C,4.726617583
71,CCC(C1OC(C)(O)CCC1C)C=C,7.322583717
72,CCC1C=CC(=O)OC1C(CCC(=O)C)C,5.276287561
73,CN(N=C1C2CCC(C1(C)C)O2)C,5.477651811
74,O=C1C(=CNC2N1NNN2)Cc1ccccc1,5.189211129
75,[N-]=[N+]=NC1=NC(=O)C(C=N1)Cc1cccs1,3.572854857
76,CCOC(=O)C(=CCCC(O)C)C,5.948408772
77,OC1C=CC23C(C1)CC(CC2)C(=C)C3,6.723933246
78,OC1=NC(NCC1Cc1ccccc1)N=[N+]=[N-],5.730717692
79,CC(C#N)C=COCc1ccccc1,5.779698185
80,O=C1N2NNNC2NC(=C1C)c1ccccc1,4.525253334
81,[N-]=[N+]=NC1=NC(=O)C(=C)C(=N1)c1cccs1,3.561970303
82,CC(=O)OC1CC(C=CC1=O)Cc1ccco1,4.522532195
83,[N-]=[N+]=NC1N=C(O)C(C(N1)c1ccccc1)C,5.730717692
84,OCC1OC(C)c2c(C1)c(OC)ccc2OC,5.434113594
85,COc1ccc(cc1CC1COC(O1)C)OC,5.273566423
86,CCOC(=O)CC12CC3CC(C1)CC(O2)(C3)O,6.707606415
87,CCCCCC(=O)C=CCCC=CC(=O)C,4.971520049
88,CNC(CN1CCCC1CO)CC(C)C,7.461361781
89,N#CC(=Cc1ccccc1)Cn1[nH]nnc1=N,3.951093109
90,CC1=CC(=C2NCCCN2)C(=O)C=C1,4.726617583
91,COc1cc2c(cc1OC)OCC(C2=C)O,4.691242783
92,C=CC(COc1ccc(c(c1)OC)OC)O,5.436834733
93,N#CC=C(C1=CCCCC1)N1CCOCC1,5.099413558
94,CCCCCC(=O)C=CCCC=O,5.104855835
95,OC(=NC1=CC(=O)C2C(C1O)O2)OCC=C,4.726617583
96,CC(C1=CC(=O)CC1O)O,5.129346082
97,CC(CC(C)C)C=CN(=O)=O,5.469488395
98,CCCC(C=CN(=O)=O)C,5.469488395
99,CC(C12OCCOC2CC(=O)C=C1)C,5.083086727
100,CCC12OCCOC2CC(=O)C=C1,5.09669242
101,CC(CC1OC(C)C(C(C1O)O)O)N,7.597418706
102,CON=C(CC1OC(C)C(C(C1O)O)O)C,6.669510476
103,CN1CCN2C(C1)CCOc1c2cccc1,5.396017655
104,Nc1ccc2c(c1)N1CCNCC1CCO2,5.137509497
105,Cc1ccc2c(c1)OCCC1N2CCNC1,5.42322904
106,COC1C(=O)C=CN=C1Br,4.111640281
107,OCCCC1C=C(F)C=NC1=O,4.410965517
108,BrC1=CC2=NC(=NC(=O)C2N=C1)C,3.444961347
109,O=C1C=CN=C2C1OCCO2,4.427292348
110,O=NC=C1C=CN=C2C1OCCO2,2.786445829
111,O=C1C=CNC2N1NC(C2)c1ccncc1,4.879001339
112,O=C1C=CNC2N1NC(C2)c1cccnc1,4.821857431
113,O=C1C=CNC2N1NC(C2)c1ccccn1,4.685800506
114,OC(=N)C=Cc1cnn2c1nccc2,3.855853262
115,NC1NNCC1C(=O)c1cccnc1,3.940208555
116,C1CCC(NC1)c1ccc(o1)N1CCCCC1,5.711669722
117,C1CCC(NC1)c1ccc(o1)N1CCCC1,5.610987597
118,O=N(=O)c1ccc(o1)C1CCCCN1,3.893949201
119,CN(c1ccc(o1)C1CCCCN1)C,5.717111999
120,Cc1c(oc2c1cccc2)C1CCCCN1,5.344316024
121,CCN(c1ccc(o1)C1CCCCN1)CC,5.616429874
122,CC(=O)OCc1ccc(o1)C1CCCCN1,5.902149417
123,OCC1CC(O)CCN1C(=O)OC(C)(C)C,7.570207321
124,CCCc1ccc(o1)C1CCCCN1,6.163378714
125,OC1=NNC2C1CN(CC2)Cc1ccccc1,5.308941223
126,CNC(c1c[nH]c2-c(c1)ccn2)CO,4.078986619
127,COC(=O)CC(c1c[nH]c2-c(c1)ccn2)N,4.062659788
128,OC(=O)C(c1c[nH]c2-c(c1)ccn2)(N)C,4.038169541
129,NC(c1c[nH]c2-c(c1)ccn2)Cc1ccncc1,4.032727264
130,CNC(c1c[nH]c2-c(c1)ccn2)C,4.038169541
131,OCCCCC(c1c[nH]c2-c(c1)ccn2)N,4.027284987
132,CCCCC(c1c[nH]c2-c(c1)ccn2)N,4.068102065
133,OC(=O)CCCC(c1c[nH]c2-c(c1)ccn2)N,4.057217511
134,C1CNC(CO1)c1c[nH]c2-c(c1)ccn2,4.062659788
135,C1CNC(CN1)c1c[nH]c2-c(c1)ccn2,4.065380926
136,OC(=O)CCC(c1c[nH]c2-c(c1)ccn2)N,4.02184271
137,c1cc2-c(n1)[nH]cc(c2)C1CN1,4.051775234
138,C1CCC(NC1)c1c[nH]c2-c(c1)ccn2,4.081707758
139,NC(C(F)(F)F)c1c[nH]c2-c(c1)ccn2,4.054496372
140,OCCCC(c1c[nH]c2-c(c1)ccn2)N,4.032727264
141,COC(=O)C(Cc1cnc2c(c1)cc[nH]2)N,5.15111519
142,OC(=N)C=Cc1cnc2c(c1)cc[nH]2,4.435455763
143,CC(c1ccc(cc1)O)N=C(C(C)(C)C)O,5.804188431
144,O=C1C=NC(=C2CCNCC2)N=C1,3.249039375
145,O=C1C=NC(=C2CCCCN2)N=C1,3.434076793
146,OC1=NCCC(N1)C1CC1,7.725312216
147,OC1=NCCC(N1)C1CCCC1,7.442313811
148,OC1=NCCC(N1)C1CCCCC1,7.510342274
149,OC1=NNC(CC1)c1cncnc1,4.400080963
150,O=C1C=CC(N=N1)c1cnc(=N)[nH]c1,3.251760513
151,O=C1C=CC(N=N1)c1cnc(nc1)C,3.529316641
152,OC1=NNC(CC1)c1cnc(nc1)C1CC1,4.470830564
153,Nc1cncc(c1)C1C=CC(=O)N=N1,3.480336148
154,Fc1cccc(n1)C1C=CC(=O)N=N1,3.583739411
155,Fc1ccc(nc1)C1C=CC(=O)N=N1,3.583739411
156,OC(=O)C1C=CC2=NC=CC(=O)C2=C1,3.455845901
157,CSC1=NC2=NC(=O)OC(=O)C2C=N1,4.046332957
158,CC1CCC2C(N1)N(CC#C)C(=O)OC2=O,6.201474653
159,CCCN1C(=O)OC(=O)C2C1NC(C)CC2,6.2613397
160,CC1CCC2C(N1)N(C(C)C)C(=O)OC2=O,6.302156778
161,O=C1OC(=O)N(C2C1CCCN2)C(C)C,6.37018524
162,ClC1=NC(=C)C(=O)N=C1,3.542922334
163,N1NNC(=C2C=CC=N2)N1,4.381032993
164,OB(C1C=c2ccccc2=NC1=O)O,3.069444234
165,N#CC1=CC2=NC=CC(=O)C2C=C1,3.314346699
166,COC(=O)C1C(=O)C=CN=C1OC,4.582397242
167,N#CC(=Cc1c(C)noc1C)C(=O)O,4.438176902
168,N#CC1C(=NNC1c1ccccc1Cl)O,5.298056669
169,N#CC1C(=NNC1c1ccc(cc1)Cl)O,5.385133101
170,OCC1NNC(C1)c1ccc(cc1)F,5.937524218
171,CC1=NC(=S)C2C(=N1)ON=C2,3.240875959
172,SC1=NCNC2C1CNO2,6.155215298
173,NC1=CC2C=CC=NC2=NC1=O,3.287135314
174,O=N(=O)C1C(=O)N=CN=C1C(F)(F)F,4.02184271
175,O=C1C=C2C3(O1)CC(C=C2)N1C3(C)CCCC1,3.719796336
176,OCC1(CN=C(C=Cc2cscc2)O)CC1,4.530695611
177,OCC1(CC1)CN=C(C1C=CC(=O)N=N1)O,3.578297134
178,OC(=NCC1(O)CCCC1)C1C=CC(=O)N=N1,3.570133719
179,OC(=NCc1cscc1)C1C=CC(=O)N=N1,3.352442638
180,Cc1nc(on1)CN=C(C1C=CC=NC1=O)O,4.035448403
181,OC(=NCc1onc(n1)C)C1C=CC(=O)N=C1,4.688521644
182,CC1SC2=NC3C(N2C1)C(=NC(=O)N3C)O,5.325268054
183,CC=CC(=NCc1noc(c1)C)O,5.668131506
184,O=C1C=CC(=C2NNCC2c2ccncc2)C=C1,3.423192239
185,O=C1C=CC(N=N1)OC1CCCNC1,3.20278002
186,O=C1C=CC(N=N1)OCC1CCNCC1,3.298019868
187,O=C1C=CC(N=N1)OC1CCNCC1,3.417749962
188,CC(CNC(=O)C(=O)Nc1cccc(c1)O)O,4.563349273
189,OC(=O)C1C=NC(=NC1=O)C1CC1,4.381032993
190,OC(=O)CCC1=C(C)NC2N(C1=O)N=C(C2)O,4.917097279
191,COc1cc(F)ccc1C1C=CC(=O)N=N1,3.556528026
192,COc1ccc(c(c1)F)C1C=CC(=O)N=N1,3.499384117
193,CSc1ccc(cc1)C1C=CC(=O)N=N1,3.366048331
194,OC(=O)CC1C=NC(=NC1=O)C(C)C,4.280350868
195,COC1=CC2=NC(=O)N(C(=O)C2C=C1OC)C,4.016400433
196,COC(=O)C(=Cc1csc(n1)C1CC1)C#N,3.96741994
197,OC(=NC1CCCN=C1O)C1C=CC(=O)N=C1,4.225928098
198,Cc1ccc(o1)C(=O)C=Cc1cc(C)cc(c1)C,4.111640281
199,N#CC(=Cc1ccc(c(c1)Cl)O)C(=NC)O,4.299398838
200,N#CC(=Cc1ccc(c(c1)Cl)O)C(=O)OC,3.934766278
201,N#CC(=Cc1cc(C)cc(c1)C)C(=O)OC,4.593281796
202,OC(=NC(c1ccccc1)(C)C)C1CCNN1,6.196032376
203,OC(=NCC1CCC=CC1)C1C=CC(=O)N=C1,4.280350868
204,CN=C(C(=Cc1ccc(cc1)OCC#C)C#N)O,3.956535386
205,COCC(CN=C(C1C=CC(=O)N=C1)O)C,4.593281796
206,Cc1cccc(c1)CCC(=NC1NNCC1)O,5.534795719
207,OC(=NC1NNCC1)CCNc1ncccn1,5.093971281
208,CSCC1NOC(=C2C=CC=CC2=O)N1,3.545643472
209,N#CC(=Cc1ccc(c(c1)Cl)O)C(=N)O,3.904833755
210,OC(=NCc1noc(c1)C)C1C=CC(=O)N=C1,4.685800506
211,CC(C(=O)OCC)N=C(C1C=CC=NC1=O)O,3.902112616
212,CCC(C(C)C)N=C(C1C=CC(=O)N=C1)O,4.647704567
213,Cc1cccc(c1)N=C(NC1NNCC1)O,5.676294921
214,OC(=NC1CCNN1)COc1ccc(cc1)F,4.908933863
215,O=C(C1C=CC(=O)N=C1)N=c1[nH][nH]cc1,4.691242783
216,OC(=NC1CNNC1)NNc1ccccc1,5.7878616
217,OC(=NC1(C)CCCC1)C1C=CC(=O)N=C1,4.416407794
218,OC(=NCc1cnn(c1)C)C1C=CC=NC1=O,3.542922334
219,Cc1ccc(c(c1)C)C=CC(=O)c1cnn(c1)C,4.144293943
220,N#Cc1cccc(c1)C=CC(=O)c1cnn(c1)C,4.465388287
221,CCC1NNC(C1)N=C(c1ccc(nc1)C)O,5.02322168
222,CC(C1CCCN1C(=O)C1C=CC(=O)N=C1)C,4.794646046
223,CC(C1CCCN1C(=O)C1C=CC=NC1=O)C,4.125245974
224,O=C(N(C1CC1)C)CN1CCC(=NC1=O)O,5.409623348
225,CCN(CCN=C(C1C=CC=NC1=O)O)CC,2.563312472
226,CSC1=NC(=O)C2=CC(C=CC2=N1)N(=O)=O,3.390538577
227,N=C(COC(C)C)NOCc1ccccc1F,5.703506306
228,N#CC(=Cc1ccc(c(c1)Cl)O)C(=O)O,3.942929694
229,N#CC(=Cc1cc(C)cc(c1)C)C(=O)O,4.215043544
230,OC(=NCC1CCCCO1)C1C=CC(=O)N=C1,4.702127337
231,CC(C1NNC(C1)NC(=O)c1ccncc1)C,4.25858176
232,Cc1cc(no1)CN=C(C1C=CC=NC1=O)O,4.106198004
233,CN=C(NC1C(O)Cc2c1cccc2)O,5.621872151
234,CON=C(C1C=Nc2c(C1=O)cccc2)O,3.708911782
235,CCON=C(C1C=Nc2c(C1=O)cccc2)O,3.692584951
236,CN1CCC(C1)N=C(C1C=CC(=O)N=C1)O,3.43951907
237,CC(C(=O)OCC)N=C(C1C=CC(=O)N=N1)O,3.581018273
238,CCOC(=O)C(N=C(C1C=CC(=O)N=C1)O)C,4.69668506
239,OC(=NCc1cnn(c1)C)C1C=CC(=O)N=C1,4.138851666
240,COCCCC1=NC(=O)C2=CC(C=CC2=N1)F,3.3497215
241,FC1C=CC2=NC(=NC(=O)C2=C1)C1CC1,3.379654023
242,O=C1N=C(N=C2C1C1=C(S2)CCC1)C1CC1,3.738844306
243,CN=C(CCN=C(C1C=CC(=O)N=C1)O)O,3.40414427
244,CN=C(CCN=C(C1C=CC(=O)N=N1)O)O,3.338836946
245,OC(=NCC1CCNN1)C=Cc1ccccc1,3.570133719
246,CCCCOCCN=C(C1C=CC(=O)N=C1)O,4.699406198
247,CC1NNC(C1)C(=O)OCc1cccnc1,5.25996073
248,O=C(N(Cc1cocc1)C)C1C=CC(=O)N=C1,4.500763087
249,CN1CCCC(C1)N=C(C1C=CC(=O)N=C1)O,3.591902827
250,OC(=NCC1CCCOC1)C1C=CC=NC1=O,3.442240209
251,CC1CC(NN1)N=C(c1cnsn1)O,4.14973622
252,OC(=NOCc1ccccc1)C1CNNN1,5.945687633
253,N#Cc1cccc(c1)N=C(C(NC(=N)O)C)O,5.015058265
254,CCOC(=O)CN=C(C1C=CC=NC1=S)O,3.069444234
255,CCN=C(C=Cc1cc(Cl)ccc1OC)O,4.190553298
256,Fc1cccc(c1)N=C(NC1CNNC1)O,5.654525813
257,OC1=NC(NC2C1SC=C2)c1cnccn1,4.500763087
258,Cc1cccc(n1)C1=NC(=O)C2C(=N1)C=CC=C2,3.49394184
259,OC1=NC(NC2C1CCCC2)c1ncccn1,4.742944414
260,CC(CCC1=NC(=O)C2C(=N1)C=CC=C2)C,3.594623965
261,OC(=NCC1COCCO1)C1C=CC(=O)N=C1,4.361985024
262,CC1NNC(C1)C(=Nc1ncccc1O)O,4.990568018
263,CC1NNC(C1)C(=Nc1cccc(n1)C)O,5.123903805
264,CC1NNC(C1)C(=Nc1ncccc1C)O,5.064038758
265,CC1NNC(C1)C(=NCCc1ccccc1)O,5.997389265
266,CC1NNC(C1)C(=Nc1ccccc1)O,5.537516858
267,OC(=NCC1CCCOC1)C1C=CC(=O)N=C1,4.193274436
268,CC1NNC(C1)N=C(Cc1ccc(cc1)F)O,5.270845284
269,FC1C=CC2=NC(=NC(=O)C2=C1)C(C)C,3.363327192
270,O=C1N=C(N=C2C1SC=C2)c1ccco1,3.58646055
271,Cc1ccc(o1)C1=NC(=O)C2C(=N1)C=CS2,3.425913378
272,O=C1N=C(N=C2C1SC=C2)C1CCCCC1,3.771497968
273,OC1=NC(NC2C1SC=C2)c1n[nH]cn1,5.458603841
274,ClCCCCC1=NC(=O)C2C(=N1)C=CC=C2,3.632719904
275,CCCC1=NC(=O)C2C(=N1)SC(=C2CC)C,3.864016677
276,CC1NNC(C1)N=C(c1cccc(n1)C)O,4.60416635
277,O=C(C1C=CC(=O)N=C1)N=c1[nH][nH]c(c1)C,4.571512688
278,CC1NNC(C1)N=C(Cc1cccc(c1)F)O,5.575612797
279,Cc1cc(=NC(=O)C2C=CC(=O)N=N2)[nH][nH]1,3.629998766
280,O=C(C1C=CC=NC1=O)N1CCSCC1,3.548364611
281,OC(=NCc1cc[nH]n1)C1C=CC=NC1=O,3.907554893
282,OC(=NCc1n[nH]cc1)C1C=CC(=O)N=C1,4.615050904
283,OC(=NCc1cocc1)C1C=CC=NC1=O,3.395980854
284,O=C(C1CC1N(=O)=O)N=C1C=NC=CC1=O,3.121145865
285,CC(C1NNC(C1)C(=Nc1n[nH]cn1)O)C,5.741602246
286,OC(=NC(C1CCCO1)C)C1C=CC=NC1=O,3.864016677
287,C1NNC(C1)CN=c1oc2c([nH]1)cccc2,5.047711927
288,C1NNC(C1)CNc1ncnc2c1ccs2,4.996010295
289,O=C(C1NNCC1)Oc1ccccc1N(=O)=O,3.450403624
290,CCN=C(C1C=C2C(=O)CCCC2=NC1=O)O,3.616393073
291,COc1ccc(cc1C=CC(=N)O)Cl,4.266745176
292,O=C1C=CC(C=N1)C(=O)N1CC2CC1CC2,4.791924907
293,CN=C(C(N=C(C1C=CC(=O)N=C1)O)C)O,3.727959752
294,OC(=N)CC1C=c2ccccc2=NC1=O,3.088492203
295,Cc1ccc(o1)C(=O)C=Cc1ccc(c(c1)C)C,4.038169541
296,Fc1cccc(c1)C(=O)C=Cc1csnn1,4.315725669
297,COC(=O)C(=Cc1cccc2c1OCO2)C#N,3.613671935
298,O=C(c1ccccc1)C=Cc1csnn1,4.397359824
299,OC(=NCc1cccnc1)NC1CNNC1,5.327989193
300,OC(=NCCc1ccccc1)NC1CNNC1,5.425950179
301,OC(=NCCC(=O)N(C)C)C1C=CC(=O)N=C1,4.704848475
302,CCC1CCN(CC1)C(=O)C1C=CC(=O)N=C1,4.783761492
303,CCN=C(CN(C(=O)C1C=CC(=O)N=C1)C)O,4.772876938
304,CSCC1CC(=O)N(C(=O)N1C)C,6.010994958
305,CSCC1=NC(=O)C2C(=N1)C=CC=C2,3.268087345
306,O=C(N=C1C=NC=CC1=O)CN=C(C1CC1)O,2.974204386
307,CN=C(Nc1ccc2=NC(=O)N=c2c1)O,2.658552319
308,Cn1nc(c(c1)C(=O)C=Cc1ccccc1)C,4.394638686
309,CCOC(=O)CN=C(C=Cc1cnn(c1)C)O,4.639541151
310,CCOC(=O)CN=C(C1C=CC=NC1=O)O,4.035448403
311,CCOC(=O)CN=C(C1C=CC(=O)N=N1)O,3.572854857
312,CCOC(=O)CN=C(C1C=CC(=O)N=C1)O,4.699406198
313,OC(=NCc1ccc(nc1)C)NC1CNNC1,5.880380309
314,CCC(=O)N=C(c1ccc2c(c1)[nH]c(n2)O)C,4.508926503
315,Cc1cc(=NC(=O)C2C=CC=NC2=O)[nH][nH]1,4.285793145
316,CC1NNC(C1)N=C(c1cc(F)cc(c1)F)O,4.941587525
317,COCCCCN=C(C1C=CC(=O)N=C1)O,4.636820013
318,OC(=NCc1cc[nH]n1)C1C=CC(=O)N=N1,3.572854857
319,OC(=NCC1CCNN1)CCc1ccccc1,5.09669242
320,C1NNC(C1)CN=c1sc2c([nH]1)cccc2,5.066759896
321,OC(=NCC1CCNN1)COc1ccccc1,5.662689229
322,Cc1ccc(o1)C(=O)C=Cc1csnn1,4.016400433
323,CCCCN=C(C(=Cc1csnn1)C#N)O,4.416407794
324,O=C(c1ccc(cc1)F)C=Cc1nnsc1,4.394638686
325,O=C(c1cccs1)C=Cc1csnn1,4.255860622
326,n1scc(n1)C=Cc1ccc2c(n1)cccc2,3.891228062
327,OC(=N)CCCN=C(C1C=CC(=O)N=C1)O,4.726617583
328,CON=C(C=Cc1cccc(c1)C#N)O,3.869458954
329,OC(=N)CN1C(=O)N=C2C(C1=O)C=CC=C2,3.844968708
330,OC(=NCC1COCC1)C1C=CC(=O)N=C1,4.628656597
331,OC(=NCc1cccnc1)C1NNCC1,6.005552681
332,OC(=Nc1nc2c([nH]1)cccc2)C1NNCC1,4.707569614
333,OC(=NCCc1ccccc1)C1CCNN1,6.087186836
334,CN(c1ccccc1)C(=O)C1CCNN1,5.238191622
335,O=C(c1ccccc1)N=C1C=NC=CC1=O,3.055838541
336,O=C(c1cnccn1)N=C1C=NC=CC1=O,2.908897062
337,OC(=NCc1nncn1C)C1C=CC(=O)N=C1,4.721175306
338,OC(=NCc1ccnn1C)C1C=CC(=O)N=C1,4.206880129
339,CON(C(=O)CN1CCC(=NC1=O)O)C,5.681737198
340,CC1CCCC(C1)N=C(C1C=CC=NC1=O)O,3.864016677
341,N1CC(C(N1)c1ccccc1)CNCC1CC1,5.578333935
342,O=C(N(C(C(C)(C)C)C)C)C1C=CC(=O)N=C1,4.794646046
343,CC1=C(C)C2C(=NC(=NC2=O)C2CC2)S1,3.834084154
344,CC1NNCC1CCCNc1ccccn1,5.238191622
345,OC1=NCCN(C1)C(=O)C=Cc1cccnc1,4.563349273
346,CC1NNC(C1)NC(=O)c1ccc(c(c1)C)C,5.3143835
347,CC1NNC(C1)N=C(COc1ccccc1)O,5.831399816
348,CC1NNC(C1)N=C(CCc1ccccc1)O,5.991946988
349,CC1NNC(C1)N=C(c1cc(C)cc(c1)C)O,5.284450977
350,COC1CCN(CC1)C(=O)C1C=CC(=O)N=N1,3.597345104
351,CON=C(C=Cc1ccc(o1)C1CC1C)O,3.741565444
352,OC(=NC(C1CC1)C1CC1)C1C=CC(=O)N=C1,4.672194813
353,OC(=NCCn1cncc1)C1C=CC(=O)N=C1,3.605508519
354,CCC1=NC(=O)C2C(=N1)SC=C2CC(C)C,3.864016677
355,CCN=C(C=Cc1cccc2c1nccc2)O,3.888506924
356,CN=C(C1=CC(=O)C2C(=N1)C=CC=C2)O,3.363327192
357,OC(=N)C=Cc1ccc(cc1)N=C(O)C,4.195995575
358,COCCCN=C(C=Cc1csc(n1)C)O,4.54974358
359,CC(CN=C(C=Cc1csc(n1)C)O)C,4.644983428
360,OC(=NC(C)(C)C)C=Cc1csc(n1)C,4.506205364
361,CCC(N=C(C=Cc1csc(n1)C)O)C,4.517089918
362,CN=C(C1C=C2C(=O)CCCC2=NC1=O)O,3.627277627
363,CC(N=C(C=Cc1csc(n1)C)O)C,4.527974472
364,CC(C(=NCC)O)N=C(C1C=CC=NC1=O)O,2.786445829
365,CC(=O)N=C1C=C(C=NC1=O)C(F)(F)F,3.072165372
366,Cc1ccc(c(c1)C)C=CC(=NC(C)(C)C)O,4.359263885
367,COC1CCN(CC1)C(=O)C1C=CC=NC1=O,4.315725669
368,CON=C(C=Cc1ccc(cc1C)C)O,4.013679295
369,CCCN=C(C=Cc1ccccc1C#N)O,4.25858176
370,N#Cc1ccccc1C=CC(=O)N(C)C,4.517089918
371,N#Cc1ccccc1C=CC(=O)N1CCCCC1,4.176947605
372,CC=CC=CC(=Nc1cc(Cl)ccc1F)O,4.02184271
373,CON=C(C=Cc1cccc(c1)OC)O,4.057217511
374,CON=C(C1=NC(=O)C2C(=C1)C=CC=C2)O,3.009579187
375,CON=C(C=Cc1cc(C)ccc1OC)O,3.93204514
376,CCOc1ccccc1C=CC(=NOC)O,3.951093109
377,CON=C(C=Cc1ccc(c(c1)F)OC)O,3.907554893
378,CON=C(C=Cc1ccc(cc1)C(C)C)O,4.010958156
379,CON=C(C=Cc1ccc(cc1)C#N)O,3.687142674
380,CON=C(C=Cc1ccc(cc1)N(C)C)O,3.766055691
381,CCOc1ccc(cc1)C=CC(=NOC)O,3.96741994
382,CON=C(C=Cc1ccc(c(c1)Cl)C)O,3.96741994
383,CON=C(C=Cc1ccccc1Cl)O,3.983746771
384,CON=C(C=Cc1ccc(cc1)N(=O)=O)O,3.341558084
385,CCN=C(C=Cc1ccc(o1)C1CC1C)O,3.989189048
386,OC(=N)C=Cc1cc(n(c1C)c1ccccc1)C,4.419128932
387,OC1=NC(=O)N(CC1)CC(=O)N1CCCC1,5.360642855
388,OC(=NCC#C)CN1CCC(=NC1=O)O,5.091250143
389,O=C1N=C(C=C2C1C=CC=C2)C(=O)N(C)C,3.213664574
390,O=C1C=C(N=C2C1C=CC=C2)C(=O)N(C)C,3.444961347
391,CCc1oc2c(c1C=CC(=N)O)cccc2,4.478993979
392,OC(=NCC(F)(F)F)C=Cc1cnn(c1)C,4.655867982
393,CCOC(=O)C(=CNC1CCCCC1)C#N,5.113019251
394,CCCN=C(CN=C(C=Cc1ccco1)O)O,3.80415163
